Date,Open,High,Low,Close,Adj Close,Volume
12/1/2005,9.850000,10.780000,9.830000,10.270000,8.914781,3266041100.00
1/1/2006,10.340000,12.342857,10.124286,10.787143,9.363682,5469592800.00
2/1/2006,10.707143,10.922857,8.985714,9.784286,8.493161,4690174300.00
3/1/2006,9.834286,9.998571,8.238571,8.960000,7.777645,5798158100.00
4/1/2006,9.095715,10.292857,8.721429,10.055715,8.728772,5029820600.00
5/1/2006,10.110000,10.542857,8.384286,8.538571,7.411828,3902194800.00
6/1/2006,8.550000,9.014286,7.915714,8.181429,7.101815,4484155900.00
7/1/2006,8.217143,9.804286,7.165714,9.708571,8.427437,4369935500.00
8/1/2006,9.602858,10.000000,8.940000,9.692857,8.413794,4471911500.00
9/1/2006,9.782857,11.111428,9.688571,10.997143,9.545972,4430389600.00
10/1/2006,10.728572,11.800000,10.371428,11.582857,10.054392,3596989200.00
11/1/2006,11.585714,13.308572,11.112857,13.094286,11.366376,3458721000.00
12/1/2006,13.114285,13.190000,10.967143,12.120000,10.520654,4222698200.00
1/1/2007,12.327143,13.971429,11.700000,12.247143,10.631020,6802445300.00
2/1/2007,12.318571,12.972857,11.837143,12.087143,10.492132,3430588700.00
3/1/2007,12.004286,13.832857,11.964286,13.272857,11.521381,3979661000.00
4/1/2007,13.448571,14.642858,12.800000,14.257143,12.375781,3364935000.00
5/1/2007,14.227143,17.452858,14.078571,17.312857,15.028268,4341267000.00
6/1/2007,17.299999,18.230000,16.485714,17.434286,15.133670,5819885400.00
7/1/2007,17.292856,21.274286,17.042856,18.822857,16.339012,6004643400.00
8/1/2007,19.091429,19.950001,15.945714,19.782858,17.172327,6090199500.00
9/1/2007,19.991428,22.142857,18.571428,21.924286,19.031176,5232805900.00
10/1/2007,22.090000,27.160000,21.847143,27.135714,23.554907,5819447900.00
11/1/2007,26.942858,27.525715,21.518572,26.031429,22.596344,6549947600.00
12/1/2007,25.980000,28.994286,25.284286,28.297142,24.563074,4313169700.00
1/1/2008,28.467142,28.608572,18.020000,19.337143,16.785425,8793472100.00
2/1/2008,19.462856,19.512857,16.491428,17.860001,15.503209,6216488600.00
3/1/2008,17.777143,20.820000,16.857143,20.500000,17.794838,5731818400.00
4/1/2008,20.900000,25.714285,20.515715,24.850000,21.570814,5696745600.00
5/1/2008,24.994286,27.462856,24.571428,26.964285,23.406101,4647053600.00
6/1/2008,26.942858,27.135714,23.450001,23.920000,20.763536,4868948700.00
7/1/2008,23.461428,25.844286,20.932858,22.707144,19.710728,4937440200.00
8/1/2008,22.842857,25.778572,21.844286,24.218571,21.022715,3271438800.00
9/1/2008,24.628571,24.785715,14.370000,16.237143,14.094501,6016890600.00
10/1/2008,15.988571,16.628571,12.142858,15.370000,13.341786,10356677800.00
11/1/2008,15.132857,15.970000,11.305715,13.238571,11.491624,5904865400.00
12/1/2008,13.042857,14.800000,12.078571,12.192857,10.583897,5053461700.00
1/1/2009,12.268572,13.881429,11.171429,12.875714,11.176645,4526435200.00
2/1/2009,12.728572,14.714286,12.358571,12.758572,11.074958,3466862700.00
3/1/2009,12.588572,15.711429,11.761429,15.017143,13.035494,3856149500.00
4/1/2009,14.870000,18.171429,14.841429,17.975714,15.603650,2955420300.00
5/1/2009,17.971428,19.414286,17.054285,19.401428,16.841228,2364285700.00
6/1/2009,19.495714,20.914286,18.982857,20.347143,17.662148,3168893000.00
7/1/2009,20.500000,23.571428,19.202858,23.341429,20.261314,2735534200.00
8/1/2009,23.601429,24.641428,22.774286,24.030001,20.859028,2041281200.00
9/1/2009,23.998571,26.985714,23.444286,26.478571,22.984482,2497329800.00
10/1/2009,26.478571,29.815714,25.814285,26.928572,23.375105,3239044200.00
11/1/2009,27.114286,29.714285,26.510000,28.558571,24.790003,2113696200.00
12/1/2009,28.891428,30.564285,26.954287,30.104286,26.131752,2848489700.00
1/1/2010,30.490000,30.798571,27.178572,27.437143,23.816572,3792248600.00
2/1/2010,27.481428,29.309999,27.264286,29.231428,25.374073,2694020000.00
